Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,списание средств,4943.06,наличный,Витебск,Приорбанк-SRJM-752,06-01-2018,13:20:14,недостаточно средств,да,86.29
юр. лицо,списание средств,4352.99,наличный,Брест,Приорбанк-FPRR-176,23-01-2022,15:49:35,недостаточно средств,да,88.59
физ. лицо,списание средств,1796.0,наличный,Могилев,МаксБанк-JWEX-485,09-04-2005,20:24:12,неправильный ввод пин-кода,да,108.61
юр. лицо,списание средств,3776.56,безналичный,Брест,Беларусбанк-USVD-105,17-03-2019,16:15:23,успешно,да,232.95
юр. лицо,списание средств,3800.78,безналичный,Гомель,МаксБанк-NALI-974,11-05-2024,02:09:22,успешно,да,321.3
физ. лицо,списание средств,1429.68,безналичный,Гомель,МаксБанк-VUJI-163,02-01-2015,18:54:37,успешно,да,106.58
юр. лицо,списание средств,206.52,наличный,Гродно,БелАгропромбанк-KWPL-759,22-08-2020,22:08:30,недостаточно средств,да,12.63
физ. лицо,списание средств,4351.88,безналичный,Могилев,Белинвестбанк-PXRS-460,16-01-2002,10:25:25,успешно,да,194.16
физ. лицо,списание средств,1240.36,безналичный,Гродно,МаксБанк-JEHI-675,10-02-2002,22:26:52,недостаточно средств,да,82.9
физ. лицо,списание средств,4402.92,наличный,Минск,БелАгропромбанк-UUZO-801,29-09-2014,13:07:27,успешно,да,208.32
юр. лицо,списание средств,4074.41,безналичный,Витебск,Приорбанк-EEVN-708,02-04-2001,23:03:49,неправильный ввод пин-кода,да,171.05
физ. лицо,списание средств,658.31,безналичный,Гродно,Беларусбанк-DILS-356,19-08-2002,17:59:42,недостаточно средств,да,38.04
юр. лицо,списание средств,2826.9,наличный,Брест,Приорбанк-XWYL-048,14-10-2022,16:15:20,неправильный ввод пин-кода,да,152.66
юр. лицо,списание средств,3533.01,безналичный,Брест,Беларусбанк-BKNB-998,13-05-2018,20:16:09,неправильный ввод пин-кода,да,224.97
юр. лицо,списание средств,1633.75,безналичный,Минск,БелАгропромбанк-VUHK-939,03-12-2016,08:38:13,недостаточно средств,да,118.22
юр. лицо,списание средств,3993.98,безналичный,Витебск,Белинвестбанк-ELBN-648,24-12-2022,08:15:05,успешно,да,395.1
юр. лицо,списание средств,4062.26,безналичный,Могилев,БелАгропромбанк-JWUI-434,06-04-2001,22:58:46,неправильный ввод пин-кода,да,394.63
физ. лицо,списание средств,3263.44,наличный,Гродно,Белинвестбанк-AKLM-558,03-03-2018,17:00:36,неправильный ввод пин-кода,да,54.7
юр. лицо,списание средств,3015.19,наличный,Гродно,Беларусбанк-DRYE-661,02-07-2017,14:24:51,неправильный ввод пин-кода,да,191.17
физ. лицо,списание средств,4742.75,безналичный,Брест,Беларусбанк-JKOZ-716,25-07-2019,02:50:35,неправильный ввод пин-кода,да,376.58
физ. лицо,списание средств,3066.18,наличный,Гродно,БелАгропромбанк-OWKJ-269,18-06-2024,23:23:57,недостаточно средств,да,99.26
физ. лицо,списание средств,1607.67,наличный,Витебск,Беларусбанк-KNSS-781,19-03-2020,03:18:55,неправильный ввод пин-кода,да,123.66
юр. лицо,списание средств,4479.12,безналичный,Гомель,Приорбанк-PYWR-783,11-09-2023,17:59:38,неправильный ввод пин-кода,да,316.47
юр. лицо,списание средств,1414.01,безналичный,Гомель,МаксБанк-UFEK-095,08-08-2009,16:35:16,недостаточно средств,да,132.5
физ. лицо,списание средств,2187.0,безналичный,Гомель,Приорбанк-YVTE-678,20-08-2007,19:39:04,неправильный ввод пин-кода,да,112.33
физ. лицо,списание средств,3201.47,безналичный,Могилев,Приорбанк-HIPS-340,16-02-2013,22:43:52,недостаточно средств,да,159.31
физ. лицо,списание средств,4426.57,наличный,Гомель,Белинвестбанк-ZRLZ-561,09-09-2003,17:50:46,неправильный ввод пин-кода,да,233.8
юр. лицо,списание средств,872.13,наличный,Могилев,Беларусбанк-QUIW-969,13-05-2018,06:55:32,неправильный ввод пин-кода,да,23.87
юр. лицо,списание средств,2350.82,наличный,Минск,Белинвестбанк-BWWZ-879,01-06-2006,13:09:09,недостаточно средств,да,119.93
физ. лицо,списание средств,1872.08,безналичный,Могилев,Белинвестбанк-IHRB-853,20-11-2005,22:23:07,недостаточно средств,да,160.28
физ. лицо,списание средств,3288.84,наличный,Витебск,БелАгропромбанк-DDWA-693,02-05-2009,22:20:23,неправильный ввод пин-кода,да,269.3
юр. лицо,списание средств,1343.01,безналичный,Брест,Приорбанк-JKHD-650,06-02-2001,22:47:05,недостаточно средств,да,46.17
юр. лицо,списание средств,784.38,безналичный,Брест,Приорбанк-EIPL-810,24-06-2007,13:50:08,успешно,да,63.54
физ. лицо,списание средств,2045.53,наличный,Минск,Белинвестбанк-JPQD-978,29-05-2019,07:16:21,неправильный ввод пин-кода,да,153.36
юр. лицо,списание средств,472.3,безналичный,Могилев,БелАгропромбанк-SXVT-050,31-05-2015,17:57:23,недостаточно средств,да,30.33
физ. лицо,списание средств,1732.97,безналичный,Брест,БелАгропромбанк-LCKB-626,17-12-2003,06:34:39,неправильный ввод пин-кода,да,99.26
физ. лицо,списание средств,960.99,наличный,Могилев,Беларусбанк-RNPA-024,25-07-2011,13:24:54,недостаточно средств,да,53.37
юр. лицо,списание средств,3053.52,наличный,Брест,Приорбанк-VXZK-921,28-03-2000,15:38:45,недостаточно средств,да,267.79
юр. лицо,списание средств,1995.58,наличный,Брест,Беларусбанк-DMPK-374,18-05-2004,20:16:55,неправильный ввод пин-кода,да,183.37
физ. лицо,списание средств,2189.18,наличный,Могилев,БелАгропромбанк-VKDA-815,28-07-2012,01:07:08,успешно,да,24.34
юр. лицо,списание средств,4648.35,безналичный,Витебск,Белинвестбанк-MWBD-717,03-05-2012,18:22:45,успешно,да,157.44
физ. лицо,списание средств,1000.0,наличный,Витебск,Приорбанк-YPGT-795,20-07-2021,19:44:52,недостаточно средств,да,57.41
физ. лицо,списание средств,2226.98,наличный,Витебск,Беларусбанк-MIST-551,01-07-2015,22:02:51,недостаточно средств,да,203.27
физ. лицо,списание средств,773.86,наличный,Брест,МаксБанк-JPZA-716,09-02-2019,14:13:35,недостаточно средств,да,9.74
физ. лицо,списание средств,1415.18,наличный,Гомель,МаксБанк-CVUP-014,25-02-2017,17:59:14,неправильный ввод пин-кода,да,35.29
юр. лицо,списание средств,2090.79,наличный,Брест,Белинвестбанк-RVHB-017,05-03-2011,19:09:36,недостаточно средств,да,116.97
физ. лицо,списание средств,2912.41,наличный,Брест,Беларусбанк-GAFS-787,30-07-2022,02:54:33,успешно,да,187.27
юр. лицо,списание средств,2860.82,наличный,Гомель,БелАгропромбанк-YWLS-964,15-02-2000,04:49:00,успешно,да,61.25
юр. лицо,списание средств,2248.49,безналичный,Гомель,Белинвестбанк-TGAE-063,15-04-2014,08:21:22,успешно,да,71.71
юр. лицо,списание средств,3980.64,наличный,Гродно,Белинвестбанк-OANW-593,08-12-2017,18:29:25,неправильный ввод пин-кода,да,130.62
физ. лицо,списание средств,102.25,наличный,Минск,МаксБанк-WXVY-752,27-03-2011,16:29:45,недостаточно средств,да,5.99
юр. лицо,списание средств,133.39,безналичный,Гродно,Беларусбанк-TLYP-932,06-04-2023,16:04:00,успешно,да,6.9
юр. лицо,списание средств,611.58,наличный,Брест,МаксБанк-PSBV-716,27-05-2008,23:25:07,неправильный ввод пин-кода,да,15.64
юр. лицо,списание средств,4846.96,безналичный,Могилев,Приорбанк-ULZC-934,07-11-2002,09:01:17,успешно,да,345.84
юр. лицо,списание средств,3921.84,безналичный,Брест,БелАгропромбанк-INVK-569,08-03-2023,19:19:35,неправильный ввод пин-кода,да,58.52
физ. лицо,списание средств,3512.22,наличный,Могилев,Белинвестбанк-DLHI-025,18-06-2020,02:24:32,успешно,да,90.77
физ. лицо,списание средств,2220.84,безналичный,Витебск,Приорбанк-FXZE-627,11-04-2003,10:02:08,успешно,да,185.83
физ. лицо,списание средств,255.14,наличный,Витебск,МаксБанк-EJDY-552,29-08-2017,06:06:25,успешно,да,19.92
юр. лицо,списание средств,3693.52,наличный,Брест,Беларусбанк-CZKL-210,24-10-2018,19:25:35,недостаточно средств,да,210.6
юр. лицо,списание средств,972.66,безналичный,Минск,БелАгропромбанк-OFHJ-128,14-08-2000,07:42:54,успешно,да,38.84
физ. лицо,списание средств,3240.46,наличный,Минск,Приорбанк-JIIH-004,12-03-2012,16:35:43,успешно,да,238.04
юр. лицо,списание средств,2254.65,наличный,Минск,Приорбанк-WWBU-466,02-06-2014,11:25:12,неправильный ввод пин-кода,да,131.94
юр. лицо,списание средств,3128.58,безналичный,Брест,БелАгропромбанк-ACIQ-116,21-06-2014,08:43:31,недостаточно средств,да,193.74
юр. лицо,списание средств,1805.21,безналичный,Гомель,БелАгропромбанк-OAVI-658,16-04-2021,18:42:26,недостаточно средств,да,122.4
юр. лицо,списание средств,3528.87,наличный,Гродно,МаксБанк-SFHK-187,22-06-2024,05:24:13,недостаточно средств,да,216.38
физ. лицо,списание средств,3712.6,наличный,Витебск,БелАгропромбанк-LBFJ-970,15-05-2003,06:13:05,неправильный ввод пин-кода,да,103.75
юр. лицо,списание средств,4259.1,наличный,Могилев,БелАгропромбанк-USIS-195,17-10-2010,08:56:30,неправильный ввод пин-кода,да,55.39
физ. лицо,списание средств,778.71,наличный,Витебск,Белинвестбанк-MREL-552,28-08-2024,06:37:00,недостаточно средств,да,38.45
юр. лицо,списание средств,2224.6,наличный,Брест,Приорбанк-HSTM-921,17-08-2022,18:50:16,неправильный ввод пин-кода,да,125.65
физ. лицо,списание средств,3530.36,наличный,Гродно,Белинвестбанк-OWUT-352,03-05-2021,00:58:27,неправильный ввод пин-кода,да,279.67
юр. лицо,списание средств,2590.97,безналичный,Гомель,Приорбанк-IUMB-476,08-07-2014,22:12:06,успешно,да,213.81
юр. лицо,списание средств,2691.63,безналичный,Минск,Приорбанк-KRLE-648,21-10-2019,07:56:39,недостаточно средств,да,224.41
физ. лицо,списание средств,2560.82,безналичный,Брест,БелАгропромбанк-JVZE-837,09-06-2023,05:52:47,неправильный ввод пин-кода,да,228.77
физ. лицо,списание средств,3680.55,безналичный,Гомель,Приорбанк-QVVI-218,08-04-2021,07:55:02,неправильный ввод пин-кода,да,111.06
юр. лицо,списание средств,2104.29,безналичный,Гомель,Беларусбанк-FUFU-554,29-06-2000,03:35:46,недостаточно средств,да,28.72
физ. лицо,списание средств,197.34,безналичный,Гомель,Белинвестбанк-WBRI-631,06-06-2020,10:30:05,неправильный ввод пин-кода,да,15.46
физ. лицо,списание средств,2624.27,наличный,Могилев,Белинвестбанк-OOSM-544,28-12-2014,20:26:34,неправильный ввод пин-кода,да,67.52
физ. лицо,списание средств,1259.67,безналичный,Гомель,Белинвестбанк-JWSK-306,12-05-2022,08:03:04,недостаточно средств,да,123.75
физ. лицо,списание средств,829.76,наличный,Гродно,Белинвестбанк-YYEX-751,23-01-2007,10:10:08,неправильный ввод пин-кода,да,55.7
физ. лицо,списание средств,2694.62,наличный,Витебск,Беларусбанк-FWNS-923,30-09-2021,15:34:18,неправильный ввод пин-кода,да,163.51
физ. лицо,списание средств,4991.91,наличный,Витебск,Приорбанк-LHYI-398,01-02-2020,19:46:48,неправильный ввод пин-кода,да,234.69
юр. лицо,списание средств,91.51,безналичный,Гродно,МаксБанк-QKFI-140,20-08-2012,04:23:54,успешно,да,8.11
юр. лицо,списание средств,2785.76,безналичный,Минск,Белинвестбанк-XZYN-118,04-05-2000,09:22:55,успешно,да,64.8
физ. лицо,списание средств,4564.23,наличный,Гродно,МаксБанк-XUEA-302,19-07-2021,00:27:05,неправильный ввод пин-кода,да,265.26
физ. лицо,списание средств,823.61,безналичный,Брест,Белинвестбанк-SFFK-503,18-02-2019,20:42:10,недостаточно средств,да,38.9
физ. лицо,списание средств,2951.23,безналичный,Брест,Приорбанк-PCXE-213,25-06-2004,08:24:55,неправильный ввод пин-кода,да,263.46
юр. лицо,списание средств,902.28,безналичный,Могилев,Беларусбанк-ADPV-392,08-12-2003,11:02:54,успешно,да,28.69
физ. лицо,списание средств,3174.35,наличный,Минск,БелАгропромбанк-WKXV-286,18-05-2009,10:51:12,недостаточно средств,да,213.12
физ. лицо,списание средств,4676.13,наличный,Гродно,Беларусбанк-AVRU-780,04-11-2009,01:43:04,неправильный ввод пин-кода,да,156.21
физ. лицо,списание средств,1611.03,наличный,Минск,МаксБанк-RHKL-833,08-01-2012,23:48:42,недостаточно средств,да,119.22
юр. лицо,списание средств,2742.02,безналичный,Витебск,Приорбанк-MYWQ-293,31-12-2013,03:06:40,неправильный ввод пин-кода,да,183.39
юр. лицо,списание средств,3347.31,безналичный,Брест,Приорбанк-ZCDH-810,04-06-2014,00:59:33,неправильный ввод пин-кода,да,117.88
физ. лицо,списание средств,4715.23,наличный,Брест,Белинвестбанк-LKGF-778,13-08-2022,03:19:06,недостаточно средств,да,260.72
юр. лицо,списание средств,1585.1,наличный,Брест,Белинвестбанк-SZLW-637,11-01-2008,19:58:50,успешно,да,33.47
юр. лицо,списание средств,3804.73,безналичный,Гомель,Приорбанк-HNPI-561,09-01-2016,09:02:41,успешно,да,366.42
физ. лицо,списание средств,4752.15,безналичный,Могилев,Белинвестбанк-WRRP-967,27-06-2010,15:11:57,неправильный ввод пин-кода,да,401.26
юр. лицо,списание средств,321.76,безналичный,Гродно,Приорбанк-ZDVO-833,10-05-2006,07:35:44,успешно,да,3.97
юр. лицо,списание средств,1688.32,наличный,Гродно,Беларусбанк-AOWW-496,10-12-2011,23:21:25,успешно,да,140.55
физ. лицо,списание средств,4040.0,наличный,Гомель,Беларусбанк-JKSO-332,07-11-2003,04:27:59,успешно,да,229.92
физ. лицо,списание средств,4934.01,наличный,Брест,Беларусбанк-ASMA-774,26-04-2012,04:33:15,успешно,да,262.39
юр. лицо,списание средств,3754.96,наличный,Минск,МаксБанк-HHDL-760,03-07-2014,08:53:06,успешно,да,213.37
юр. лицо,списание средств,2567.71,наличный,Витебск,Белинвестбанк-GNON-956,18-02-2010,08:23:45,успешно,да,190.08
юр. лицо,списание средств,4721.18,безналичный,Могилев,МаксБанк-JTUN-794,19-09-2012,23:29:06,успешно,да,236.69
юр. лицо,списание средств,3301.97,наличный,Брест,Приорбанк-HNOG-637,05-06-2021,13:33:14,неправильный ввод пин-кода,да,241.83
юр. лицо,списание средств,2407.1,безналичный,Гродно,МаксБанк-LQIG-745,01-10-2012,22:13:30,успешно,да,62.77
физ. лицо,списание средств,3645.17,безналичный,Витебск,Беларусбанк-GRJQ-403,17-01-2018,18:43:12,недостаточно средств,да,89.01
физ. лицо,списание средств,1026.28,наличный,Брест,Беларусбанк-MEMU-379,19-07-2021,02:07:58,недостаточно средств,да,90.36
физ. лицо,списание средств,4830.93,безналичный,Брест,Беларусбанк-DUJS-290,29-10-2002,09:06:01,неправильный ввод пин-кода,да,103.49
физ. лицо,списание средств,4476.27,безналичный,Брест,Приорбанк-BBRU-785,15-09-2010,11:51:16,успешно,да,162.01
физ. лицо,списание средств,3202.59,наличный,Минск,Белинвестбанк-IVJV-872,14-12-2019,07:52:37,успешно,да,278.15
физ. лицо,списание средств,1078.57,наличный,Гомель,МаксБанк-AVBL-399,07-03-2008,14:45:50,успешно,да,26.3
физ. лицо,списание средств,1587.02,безналичный,Могилев,Беларусбанк-NAQM-465,24-10-2002,19:49:34,неправильный ввод пин-кода,да,73.65
физ. лицо,списание средств,1377.97,безналичный,Гомель,БелАгропромбанк-UOHE-138,02-05-2022,20:52:37,недостаточно средств,да,73.12
физ. лицо,списание средств,1152.49,безналичный,Гродно,МаксБанк-RYZJ-105,05-06-2006,22:15:02,неправильный ввод пин-кода,да,35.07
юр. лицо,списание средств,2915.56,наличный,Минск,Беларусбанк-CJQP-618,17-05-2013,09:42:27,неправильный ввод пин-кода,да,121.05
физ. лицо,списание средств,2338.7,наличный,Гродно,Беларусбанк-CQMW-848,23-09-2017,09:33:12,неправильный ввод пин-кода,да,90.73
физ. лицо,списание средств,2480.7,безналичный,Витебск,Белинвестбанк-AEJU-020,05-06-2020,15:21:51,успешно,да,29.12
физ. лицо,списание средств,4130.7,безналичный,Гомель,Приорбанк-HDDB-746,27-01-2012,01:08:43,недостаточно средств,да,68.38
юр. лицо,списание средств,766.36,наличный,Витебск,Приорбанк-GWLY-941,27-07-2015,09:02:33,успешно,да,36.41
юр. лицо,списание средств,4270.05,безналичный,Могилев,МаксБанк-QZJI-208,31-01-2011,21:28:37,неправильный ввод пин-кода,да,300.84
юр. лицо,списание средств,3644.67,наличный,Витебск,МаксБанк-NSDT-500,27-07-2015,06:58:53,успешно,да,124.74
юр. лицо,списание средств,2830.3,наличный,Гомель,Беларусбанк-VWGI-714,05-04-2019,14:32:21,успешно,да,95.15
юр. лицо,списание средств,3184.57,безналичный,Брест,МаксБанк-USPY-883,10-03-2022,14:27:04,успешно,да,310.12
физ. лицо,списание средств,1721.6,безналичный,Минск,Беларусбанк-CJMB-745,02-08-2021,01:51:53,недостаточно средств,да,28.78
юр. лицо,списание средств,3398.69,безналичный,Гомель,Беларусбанк-NBWZ-994,30-08-2005,11:06:12,недостаточно средств,да,266.26
физ. лицо,списание средств,4184.33,безналичный,Витебск,БелАгропромбанк-EHUQ-273,03-10-2012,11:04:37,неправильный ввод пин-кода,да,375.83
юр. лицо,списание средств,2898.19,наличный,Гомель,Приорбанк-DWXL-057,04-04-2013,09:41:15,недостаточно средств,да,251.98
физ. лицо,списание средств,2884.4,безналичный,Минск,Беларусбанк-FMDB-392,27-07-2012,19:50:46,успешно,да,158.62
физ. лицо,списание средств,1499.36,безналичный,Гомель,Беларусбанк-XQTC-496,29-05-2013,02:16:35,недостаточно средств,да,24.09
физ. лицо,списание средств,144.66,безналичный,Минск,Беларусбанк-DJWR-071,20-11-2017,23:39:46,неправильный ввод пин-кода,да,10.42
юр. лицо,списание средств,4855.36,безналичный,Минск,БелАгропромбанк-LBTH-254,05-06-2000,02:15:09,успешно,да,375.44
физ. лицо,списание средств,1668.75,наличный,Гродно,Белинвестбанк-WSMX-910,11-10-2018,17:49:06,успешно,да,85.41
физ. лицо,списание средств,20.4,наличный,Гомель,МаксБанк-VFWS-603,17-03-2011,04:13:28,успешно,да,1.62
физ. лицо,списание средств,309.21,наличный,Могилев,Приорбанк-BUGD-118,13-04-2022,14:29:04,неправильный ввод пин-кода,да,18.75
физ. лицо,списание средств,760.87,наличный,Могилев,Белинвестбанк-EADT-906,27-01-2023,15:45:57,неправильный ввод пин-кода,да,26.51
физ. лицо,списание средств,4851.3,наличный,Могилев,Приорбанк-ZQAN-424,10-03-2021,06:42:00,неправильный ввод пин-кода,да,69.14
физ. лицо,списание средств,649.81,наличный,Гродно,МаксБанк-ZCJD-726,15-07-2013,13:18:51,недостаточно средств,да,20.07
юр. лицо,списание средств,570.42,наличный,Брест,Приорбанк-IGMY-046,19-05-2018,03:10:44,неправильный ввод пин-кода,да,43.63
юр. лицо,списание средств,4476.43,наличный,Гродно,Беларусбанк-RPTO-431,09-01-2011,08:13:19,неправильный ввод пин-кода,да,386.27
физ. лицо,списание средств,4061.43,безналичный,Гомель,Приорбанк-LJFV-496,03-02-2013,09:40:14,недостаточно средств,да,47.49
физ. лицо,списание средств,2858.27,безналичный,Могилев,БелАгропромбанк-TOFY-882,10-07-2001,17:40:01,неправильный ввод пин-кода,да,117.13
физ. лицо,списание средств,1303.47,наличный,Гродно,БелАгропромбанк-EJWI-850,18-07-2007,16:35:17,успешно,да,32.04
юр. лицо,списание средств,94.03,наличный,Гродно,МаксБанк-KATD-058,08-06-2007,14:30:21,неправильный ввод пин-кода,да,6.13
физ. лицо,списание средств,407.28,безналичный,Гродно,БелАгропромбанк-MKEU-991,11-05-2011,22:19:53,неправильный ввод пин-кода,да,19.29
физ. лицо,списание средств,71.81,наличный,Гродно,МаксБанк-ACDR-423,03-12-2019,13:34:13,успешно,да,6.25
физ. лицо,списание средств,2705.88,наличный,Витебск,МаксБанк-XCVZ-531,23-10-2011,22:50:53,неправильный ввод пин-кода,да,156.43
физ. лицо,списание средств,98.28,безналичный,Могилев,Белинвестбанк-RZHK-430,10-09-2015,11:02:53,успешно,да,6.73
физ. лицо,списание средств,4847.11,наличный,Могилев,Приорбанк-YAIF-823,15-06-2010,23:53:48,недостаточно средств,да,171.79
физ. лицо,списание средств,2097.87,наличный,Гомель,БелАгропромбанк-ZYIH-091,08-06-2015,10:35:51,успешно,да,92.16
физ. лицо,списание средств,338.18,наличный,Минск,МаксБанк-XTZH-222,28-08-2023,08:32:12,успешно,да,20.3
юр. лицо,списание средств,319.31,безналичный,Минск,МаксБанк-LOCY-988,13-11-2010,22:58:48,успешно,да,27.66
физ. лицо,списание средств,2259.35,наличный,Минск,Приорбанк-ZWNA-618,15-07-2015,11:24:29,недостаточно средств,да,63.95
юр. лицо,списание средств,2626.38,безналичный,Витебск,БелАгропромбанк-RBAU-335,15-03-2003,09:13:09,неправильный ввод пин-кода,да,47.09
физ. лицо,списание средств,4660.01,наличный,Витебск,Белинвестбанк-MCRB-755,27-09-2003,14:10:28,неправильный ввод пин-кода,да,88.04
юр. лицо,списание средств,1969.81,наличный,Витебск,МаксБанк-TJWY-558,17-04-2001,22:21:36,недостаточно средств,да,144.69
юр. лицо,списание средств,126.43,наличный,Могилев,Беларусбанк-OHKY-545,25-10-2001,15:35:09,неправильный ввод пин-кода,да,4.85
юр. лицо,списание средств,3024.7,безналичный,Гомель,Приорбанк-EDHL-772,26-05-2006,03:24:16,успешно,да,101.84
юр. лицо,списание средств,1522.27,наличный,Брест,Белинвестбанк-NGEF-670,23-11-2002,09:41:58,недостаточно средств,да,93.56
физ. лицо,списание средств,4882.33,наличный,Гродно,Белинвестбанк-VYJP-973,26-01-2007,19:48:46,недостаточно средств,да,195.1
юр. лицо,списание средств,4710.35,безналичный,Могилев,Приорбанк-PONV-770,25-01-2002,16:33:17,успешно,да,441.39
юр. лицо,списание средств,1439.29,наличный,Минск,МаксБанк-JAXS-360,31-01-2012,21:45:13,неправильный ввод пин-кода,да,78.26
физ. лицо,списание средств,1410.42,наличный,Гомель,БелАгропромбанк-PYST-591,06-09-2003,12:04:22,успешно,да,103.04
физ. лицо,списание средств,2914.72,безналичный,Гомель,МаксБанк-VWSC-482,25-10-2008,04:15:53,успешно,да,36.4
юр. лицо,списание средств,2611.84,безналичный,Брест,БелАгропромбанк-FWFS-744,14-03-2022,21:55:14,недостаточно средств,да,211.07
юр. лицо,списание средств,1088.82,наличный,Могилев,МаксБанк-PMGP-116,02-06-2004,07:33:41,успешно,да,104.21
физ. лицо,списание средств,2417.66,безналичный,Гомель,Беларусбанк-JCJB-053,10-12-2018,10:33:34,неправильный ввод пин-кода,да,216.13
юр. лицо,списание средств,4853.18,безналичный,Витебск,Белинвестбанк-OIEN-644,10-07-2012,08:20:04,недостаточно средств,да,423.43
физ. лицо,списание средств,4235.34,наличный,Брест,БелАгропромбанк-EAJL-307,23-08-2016,15:37:52,неправильный ввод пин-кода,да,108.45
физ. лицо,списание средств,1436.16,безналичный,Могилев,Белинвестбанк-UVJE-673,07-05-2003,03:51:59,неправильный ввод пин-кода,да,62.66
юр. лицо,списание средств,4657.16,безналичный,Витебск,Беларусбанк-HZQK-612,24-12-2010,04:11:50,успешно,да,92.34
физ. лицо,списание средств,99.29,наличный,Могилев,Приорбанк-QFKN-027,05-01-2016,16:33:56,недостаточно средств,да,4.44
физ. лицо,списание средств,3732.86,наличный,Гродно,Беларусбанк-OGCZ-255,15-11-2003,17:10:45,успешно,да,197.17
юр. лицо,списание средств,4999.33,безналичный,Витебск,Белинвестбанк-TJLK-903,03-04-2007,17:47:25,неправильный ввод пин-кода,да,427.38
физ. лицо,списание средств,2917.22,безналичный,Брест,Беларусбанк-FSQB-626,24-04-2008,17:19:51,недостаточно средств,да,128.79
физ. лицо,списание средств,2333.61,наличный,Гродно,Белинвестбанк-UJOY-703,23-07-2016,14:00:27,неправильный ввод пин-кода,да,146.73
юр. лицо,списание средств,3463.68,безналичный,Минск,Белинвестбанк-HADW-148,30-12-2017,06:04:23,неправильный ввод пин-кода,да,186.14
юр. лицо,списание средств,1183.38,безналичный,Могилев,Приорбанк-EARW-299,24-09-2018,06:00:11,недостаточно средств,да,18.98
юр. лицо,списание средств,4536.21,наличный,Брест,БелАгропромбанк-WJPI-678,18-02-2000,14:36:39,недостаточно средств,да,360.93
физ. лицо,списание средств,4838.64,наличный,Брест,Белинвестбанк-LLBM-879,01-09-2021,13:57:24,успешно,да,54.88
юр. лицо,списание средств,3245.68,наличный,Могилев,БелАгропромбанк-VVCK-977,10-04-2020,03:01:21,успешно,да,74.55
физ. лицо,списание средств,2477.09,наличный,Могилев,Беларусбанк-MYII-141,07-06-2021,13:58:06,неправильный ввод пин-кода,да,27.72
юр. лицо,списание средств,4876.17,наличный,Гродно,Белинвестбанк-VRPG-244,28-10-2006,22:06:09,успешно,да,50.01
физ. лицо,списание средств,211.61,безналичный,Могилев,Беларусбанк-PTOV-042,28-08-2009,02:52:01,недостаточно средств,да,11.27
юр. лицо,списание средств,4586.79,наличный,Брест,БелАгропромбанк-BZVY-466,18-12-2001,19:31:34,успешно,да,243.66
юр. лицо,списание средств,845.84,наличный,Гродно,БелАгропромбанк-CSRL-765,27-07-2003,15:56:39,недостаточно средств,да,47.1
физ. лицо,списание средств,1319.68,безналичный,Могилев,Приорбанк-OXIT-789,11-12-2012,23:50:16,недостаточно средств,да,24.6
юр. лицо,списание средств,2687.96,наличный,Витебск,Беларусбанк-IZUX-651,12-11-2011,19:39:44,успешно,да,164.71
юр. лицо,списание средств,3162.53,наличный,Минск,МаксБанк-DPVU-013,07-07-2011,05:21:09,успешно,да,68.04
физ. лицо,списание средств,3262.23,наличный,Брест,МаксБанк-PSMQ-552,25-02-2001,02:34:42,недостаточно средств,да,179.4
юр. лицо,списание средств,1474.25,безналичный,Брест,Приорбанк-BOOE-784,15-08-2004,18:45:20,успешно,да,39.38
юр. лицо,списание средств,2657.53,безналичный,Гомель,Приорбанк-HSYP-933,08-10-2010,02:04:04,недостаточно средств,да,61.06
юр. лицо,списание средств,1281.96,безналичный,Минск,Белинвестбанк-MDXN-822,28-03-2021,11:28:21,успешно,да,127.05
физ. лицо,списание средств,1450.86,безналичный,Брест,БелАгропромбанк-KCQM-273,11-04-2024,23:41:31,неправильный ввод пин-кода,да,136.32
юр. лицо,списание средств,2536.83,наличный,Могилев,Беларусбанк-ONBV-547,28-10-2003,03:15:56,недостаточно средств,да,101.85
юр. лицо,списание средств,1036.58,безналичный,Могилев,Беларусбанк-WHDY-880,29-09-2007,23:45:21,недостаточно средств,да,87.55
юр. лицо,списание средств,1394.33,безналичный,Могилев,Приорбанк-SGHC-560,09-12-2012,19:36:51,успешно,да,65.11
юр. лицо,списание средств,1720.66,наличный,Гродно,БелАгропромбанк-BRSS-784,08-07-2006,21:25:15,недостаточно средств,да,158.71
физ. лицо,списание средств,2564.83,безналичный,Брест,Беларусбанк-HKRJ-119,18-02-2009,15:46:05,неправильный ввод пин-кода,да,105.3
юр. лицо,списание средств,4580.1,безналичный,Гродно,БелАгропромбанк-AATR-571,23-08-2003,16:09:41,недостаточно средств,да,369.72
физ. лицо,списание средств,2250.76,безналичный,Витебск,Беларусбанк-TXFO-699,19-01-2004,19:02:32,неправильный ввод пин-кода,да,139.68
юр. лицо,списание средств,2763.72,наличный,Минск,Белинвестбанк-JLSR-324,06-03-2024,14:55:07,успешно,да,226.15
физ. лицо,списание средств,2862.9,безналичный,Витебск,БелАгропромбанк-ENLO-568,07-10-2004,05:50:58,успешно,да,40.0
физ. лицо,списание средств,2255.64,наличный,Брест,Беларусбанк-XZDT-407,27-06-2010,23:26:12,успешно,да,117.2
